work_type;temperature;continuous_work;quarter_break;half_break;quarter_work
1;32;87;94;99;99
1;33;77;83;89;94
1;34;68;74;80;85
1;35;62;69;75;80
1;36;53;60;66;70
1;37;47;54;59;64
1;38;42;48;53;58
1;39;38;44;48;52
1;40;33;38;42;47
1;41;29;34;38;42
1;42;25;30;34;38
1;43;22;27;30;33
1;44;18;23;26;28
1;45;14;19;22;24
1;46;12;17;20;22
2;32;60;73;82;90
2;33;52;62;71;78
2;34;45;55;65;73
2;35;40;50;60;68
2;36;35;45;55;63
2;37;30;40;49;57
2;38;26;35;44;52
2;39;22;31;39;47
2;40;19;27;35;42
2;41;16;23;31;37
2;42;13;20;27;33
2;43;10;17;23;28
2;44;8;15;21;25
2;45;5;12;18;21
2;46;;10;15;18
3;32;44;57;71;79
3;33;38;50;63;71
3;34;33;44;57;65
3;35;28;38;51;60
3;36;24;34;47;56
3;37;20;30;41;51
3;38;17;25;36;46
3;39;14;22;33;41
3;40;11;19;28;36
3;41;9;16;25;32
3;42;7;14;21;27
3;43;5;13;19;24
3;44;;9;15;20
3;45;;;12;17
3;46;;;8;15
